Name,Website,Type,Parent Company,Country HQ,DT Only?,# DT deals in portfolio,Size of current DT fund(s),Date of current DT fund(s),Pre-seed,Seed,Series A,Series B+,Min ticket,Max ticket,Europe,Israel,USA,Canada,Asia,Worldwide,Other,Aerospace,AI/ML,Electronics,Industry 4.0 / Robotics,Energy,Materials,Healthtech,Biotech,Food & Ag,Cleantech,Mobility,Specific or additional focus,linkedin-private-codex,linkedin-private-claude
Act Venture Capital,https://www.actventure.capital,VC,,Ireland,No,,€140M,"Jun , 2022",x,x,x,x,,,x,,,,,,,,x,,,,,,,,,,"SaaS, IT, telcoms, Internet & mobile","https://www.linkedin.com/in/andrew-o-neill-312054151, https://www.linkedin.com/in/conor-mills-cfa-741a2641, https://www.linkedin.com/in/debbie-rennick-921297, https://www.linkedin.com/in/johnflynn2, https://www.linkedin.com/in/johno36, https://www.linkedin.com/in/lorraine-paton-9490717b, https://www.linkedin.com/in/maireadroche, https://www.linkedin.com/in/sarahmatthews2","https://www.linkedin.com/in/andrew-o-neill-312054151, https://www.linkedin.com/in/conor-mills-cfa-741a2641, https://www.linkedin.com/in/debbie-rennick-921297, https://www.linkedin.com/in/johnflynn2, https://www.linkedin.com/in/johno36"
ACT Venture Partners,https://act-vc.com,VC,,The Netherlands,Yes,20+,€50M,Jan 2023,X,X,X,,€500K,€5M,X,,,,,,,X,X,X,X,X,X,X,X,X,X,X,,,
Action Potential Venture Capital,https://www.actionpotentialvc.com/,VC,GSK,USA,Yes,10+,--,--,,,x,x,,,x,x,x,x,x,x,,,,,,,,x,x,,,,Bioelectronics,,
Activant Capital,https://www.activantcapital.com,VC,,USA,No,"Jan , 1900",$493M,"Apr , 2020",,x,x,x,,,,,,,,,,,x,,x,,,,,x,,,,https://www.linkedin.com/in/andrew-steele-562308a0,https://www.linkedin.com/in/andrew-steele-562308a0
Activate Venture Partners,https://www.activatevp.com/,VC,,USA,No,15+,$11.4M,Jan 2020,,x,x,x,,,,,x,,,,,,x,,,,,x,,,,,,,
Active Impact Investments,https://www.activeimpactinvestments.com/,VC,,Canada,No,--,$54M,"Jul, 2021",,x,x,,$250K,$1M,,,x,x,,,,,,,,x,,,,,x,x,,"https://www.linkedin.com/in/mike-winterfield-827408, https://www.linkedin.com/in/tom-boddez-5a92b933","https://www.linkedin.com/in/mike-winterfield-827408, https://www.linkedin.com/in/tom-boddez-5a92b933"
Ada Ventures,https://www.adaventures.com/,VC,,UK,No,,€30.6M,"Dec , 2019",,x,x,,,,x,,,,,,,,,,,,,x,x,,,x,,"https://www.linkedin.com/in/mattpenneycard, https://www.linkedin.com/in/francescawarner, https://www.linkedin.com/in/michaeltefula","https://www.linkedin.com/in/mattpenneycard, https://www.linkedin.com/in/francescawarner, https://www.linkedin.com/in/michaeltefula"
Adara Ventures,https://www.adara.vc/,VC,,Luxembourg,Yes,20+,€65M,"Jul , 2019",,x,x,,€2M,€9M,x,,,,,,,,x,,,,,,,,,,"Data, security",,
AdBio Technologies (ex Advent France Biotechnology),https://adbio.partners/,VC,,France,Yes,10+,€86M,"Sep , 2021",,x,x,x,,,x,,,,,,,,,,,,,x,x,,,,"Multiple therapeutic areas including oncology, immunology, ophthalmology and rare diseases",,
Advantage Capital,http://www.advantagecap.com/,VC,,USA,No,,$55M,"Jan , 2009",,,x,x,$500K,$10M,,,x,,,,,,x,x,x,x,x,x,x,x,x,,Telecoms,"https://www.linkedin.com/in/-scott-murphy, https://www.linkedin.com/in/alexandra-blake-100, https://www.linkedin.com/in/ananbalaji, https://www.linkedin.com/in/anne-falgoust-ott-johnson-0a173a182, https://www.linkedin.com/in/anthony-billings-6192a832, https://www.linkedin.com/in/betsy-avila-10902932b, https://www.linkedin.com/in/carch5, https://www.linkedin.com/in/christopher-harris-6008145, https://www.linkedin.com/in/cindy-colvin-b5378a6, https://www.linkedin.com/in/damon-rawie-0547428, https://www.linkedin.com/in/david-bader-08318555, https://www.linkedin.com/in/evan-bell-165864136, https://www.linkedin.com/in/felix-akresi-a94601258, https://www.linkedin.com/in/franchescalorio, https://www.linkedin.com/in/jonathan-goldstein-2a8b294, https://www.linkedin.com/in/justin-obletz-b1b2884, https://www.linkedin.com/in/kayinbarclay, https://www.linkedin.com/in/keith-freeman-1034368, https://www.linkedin.com/in/kendra-becker2, https://www.linkedin.com/in/kourtneybaker, https://www.linkedin.com/in/lynn-ambrosy-782b489, https://www.linkedin.com/in/madeline-bale-53680b165, https://www.linkedin.com/in/michael-johnson-185463, https://www.linkedin.com/in/mtbensonprofile, https://www.linkedin.com/in/nickbarbknecht, https://www.linkedin.com/in/reidhutchins, https://www.linkedin.com/in/ryan-m-brennan, https://www.linkedin.com/in/samanthamurrahmorris, https://www.linkedin.com/in/sandra-m-moore, https://www.linkedin.com/in/spencer-baudier-550944180, https://www.linkedin.com/in/steven-lichtin-8b16267, https://www.linkedin.com/in/steven-stull, https://www.linkedin.com/in/talmadge-singer-341675b0, https://www.linkedin.com/in/tombitting, https://www.linkedin.com/in/willarquiett",
