Investor name,Investor type,Countries of investment,Global HQ,Technology focus,First Cheque,Stages of investment,Investment thesis,LinkedIn,Website,linkedin-private-codex
JK&B Capital,Other,USA,"Chicago, Illinois, United States",N/A,N/A,N/A,,N/A,http://www.jkbcapital.com/,
Pontifax VC,VC,"Israel,USA,Canada",Israel,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://www.pontifax.com/,
Tecnet Equity,VC,Austria,Austria,"🔬 Deep Tech,💻 Software",N/A,N/A,,N/A,https://www.tecnet.at/en/venture-capital/,
Shape VC,VC,"Poland,Ukraine,Latvia,Lithuania,Slovakia,Slovenia,Czech Republic,Belarus","al. 3 maja 9, 30-062 Kraków, Poland","💻 Software,📱 Consumer hardware,⚙️ Enterprise hardware,🔬 Deep Tech",max. $250k,"1. Idea or Patent,2. Prototype,3. Early Revenue","We invest in seed and early-stage companies with R&D component up to 250,000 EUR and we take startups from pre-traction to product-market fit.",https://www.linkedin.com/company/shapevc/,http://www.shape.vc/,
Bits x Bites,VC,"Israel,USA,Canada,China",China,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.bitsxbites.com/,
Noetic Fund,VC,"USA,Canada,UK,Germany,Australia,Costa Rica","100 Broadview Ave Ste 300 Toronto, Ontario, M4M 3H3",💊 Therapeutics,N/A,"1. Idea or Patent,2. Prototype,3. Early Revenue,4. Scaling,5. Growth,6. Pre-IPO","We invest in emerging and early-stage wellness, therapeutic and psychedelic pharmaceutical companies around the globe.",https://www.linkedin.com/company/noetic-fund/,https://noeticfund.com/,
Eiffel Investment Group,VC,France,France,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.eiffel-ig.com/,
Notation Capital,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://notation.vc/,
Captii Ventures,VC,Malaysia,Malaysia,"🔬 Deep Tech,💻 Software",N/A,N/A,,N/A,https://captii.vc/,
Das & Co,Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/dasandco,http://www.dasandco.com/,
Wellstreet,Other,N/A,N/A,N/A,N/A,N/A,,N/A,http://www.wellstreet.se/,
Accomplice,Other,USA,"Cambridge, Massachusetts, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/accomplice-vc/,https://accomplice.co/,
VTF Capital,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://vtfcapital.com/,
Fresco Capital,Other,Hong Kong,N/A,N/A,N/A,N/A,,N/A,https://fresco.vc/,
Trinity Ventures,VC,"USA,Israel,Canada,France","Menlo Park, California, United States","🔬 Deep Tech,💻 Software",N/A,"3. Early Revenue,4. Scaling",,N/A,https://www.trinityventures.com/,
Miyako Capital,VC,"Israel,USA,Canada",Japan,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://www.miyakocapital.com/,
New Venture Partners,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.nvpllc.com/,
Broadway Video Ventures,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,http://www.broadwayvideo.com/ventures,
Assurant Growth Investing,Corporate VC,USA,"Atlanta, Georgia, United States",N/A,N/A,N/A,,N/A,http://www.assurantgrowthinvesting.com/,
Sapphire Sport,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://sapphireventures.com/funds/sapphire-sport/,
OSF Ventures,Corporate VC,USA,"Peoria, Illinois, United States",N/A,N/A,N/A,,https://www.linkedin.com/company-beta/973835/,https://www.osfhealthcare.org/ventures/,
SeedPlus,VC,Singapore,Singapore,"🔬 Deep Tech,💻 Software",N/A,2. Prototype,,N/A,https://www.seedplus.com/,
Ten Oaks Group,Family office,USA,"Charlotte, North Carolina, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/ten-oaks-group,https://tenoaksgroup.com/,
Hemisphere Venture,VC,USA,USA,"🔬 Deep Tech,💻 Software",N/A,2. Prototype,,N/A,https://www.hemisphere.com,
Constellar Ventures,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.constellar.vc/,
Synchrony Ventures,Corporate VC,USA,"San Francisco, California, United States",N/A,N/A,N/A,,N/A,https://www.synchrony.com/ventures.html,
ZX Ventures by Anheuser-Bush InBev,Corporate VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,"3. Early Revenue,4. Scaling",,N/A,https://zx-ventures.com/,
GC Capital,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,http://www.gc-cap.com/,
Play Ventures,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://playventures.vc/,
Sofimac Innovation,VC,France,France,🔬 Deep Tech,min. $100k,2. Prototype,,N/A,https://www.sofimac-im.com/,
MPG Equity Partners,Family office,USA,"Chicago, Illinois, United States",N/A,N/A,N/A,,N/A,http://mpgequity.com,
DCVC Data Collective,VC,"Israel,USA,Canada","San Francisco, California, United States",🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://www.dcvc.com/,
SB Investment Partners,Family office,USA,"Boston, Massachusetts, United States",N/A,N/A,N/A,,http://linkedin.com/in/shuvambhaumik,http://sbipfo.com,https://www.linkedin.com/in/shuvambhaumik
Reach Capital,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://reachcapital.com/,
Hippocrates VC,VC,"USA,Israel,Canada",USA,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://hippocratesvc.com/,
Sumo Ventures,Family office,USA,"Dallas, Texas, United States",N/A,N/A,N/A,,N/A,http://sumo.vc,
Sofilaro,Other,France,N/A,N/A,N/A,N/A,,N/A,https://www.sofilaro.fr/,
Wellcome,VC,"Israel,USA,Canada,UK",UK,🔬 Deep Tech,N/A,"3. Early Revenue,4. Scaling",,N/A,https://wellcome.ac.uk/news/directors-update-taking-risks-bold-ideas,
PJ Tech Catalysts,VC,Greece,Greece,"🔬 Deep Tech,💻 Software",min. $50k,3. Early Revenue,,N/A,http://www.pjtechcatalyst.com/about.html,
Walden International,Other,USA,"San Francisco, California, United States",N/A,N/A,N/A,,N/A,http://www.waldenintl.com/,
Venrock,VC,"USA,Israel,Canada","Palo Alto, California, United States","🔬 Deep Tech,💻 Software",N/A,"2. Prototype,3. Early Revenue",,N/A,https://www.venrock.com/,
Polytech Ventures,VC,USA,Switzerland,"🔬 Deep Tech,💻 Software",min. $100k,3. Early Revenue,,N/A,https://polytechventures.ch/companies/,
USAA Corporate Development,Corporate VC,USA,"San Antonio, Texas, United States",N/A,N/A,N/A,,http://www.linkedin.com/company/usaa,https://usaacorpdev.com/,
The Nordic Web Ventures,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.thenordicweb.vc/,
Silk Capital,VC,Uzbekistan,Uzbekistan,"🔬 Deep Tech,💻 Software",N/A,N/A,,N/A,https://www.silkcapital.net/en/,
Dreamit Ventures,Other,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://www.dreamit.com/,
Spero Ventures,VC,USA,USA,"🔬 Deep Tech,💻 Software",min. $2M,3. Early Revenue,,N/A,https://spero.vc/,
Saudi Aramco Energy Ventures,Corporate VC,Saudi Arabia,"Dhahran, Ash Sharqiyah, Saudi Arabia",N/A,N/A,N/A,,http://www.linkedin.com/company/saudi-aramco-energy-ventures,http://www.saev.com,
Mountain Nazca,Other,Mexico,N/A,N/A,N/A,N/A,,N/A,https://www.mountainnazca.com/,
Rembrandt Venture Partners,Other,USA,"San Francisco, California, United States",N/A,N/A,N/A,,N/A,https://rembrandtvc.com/,
WTI Western Technology Investment,VC,"USA,Israel,Canada","Portola Valley, California, United States","🔬 Deep Tech,💻 Software",min. $250k,3. Early Revenue,,N/A,https://westerntech.com/,
Zetta Venture Partners,VC,USA,USA,"🔬 Deep Tech,💻 Software",min. $1M,"1. Idea or Patent,2. Prototype,3. Early Revenue",,N/A,https://www.zettavp.com/,
Red Apple Group,Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/gristedes-red-apple-group/,http://ragny.com/,
Access Industries,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/access-industries/,http://www.accessindustries.com,
LabCorp,Other,USA,N/A,N/A,N/A,N/A,,N/A,https://www.labcorp.com/,
Midven,VC,UK,UK,"🔬 Deep Tech,💻 Software",N/A,N/A,,N/A,https://midven.co.uk,
Tribeca Venture Partners,Other,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://tribecavp.com/,
Ringier Digital Ventures,Corporate VC,Switzerland,"Zürich, Zurich, Switzerland",N/A,N/A,N/A,,https://www.linkedin.com/company/ringier-digital,http://www.ringier.com/en/about-ringier/activities/ventures,
Yaletown Partners,Other,Canada,N/A,N/A,N/A,N/A,,N/A,https://yaletown.com/fr/,
Navitas Ventures,Corporate VC,Australia,"Sydney, New South Wales, Australia",N/A,N/A,N/A,,https://in.linkedin.com/company/navitas-ventures,http://www.navitasventures.com/,
Perpetual Investment,Other,"Germany,Luxembourg,France",N/A,N/A,N/A,N/A,,N/A,https://www.prptl.com/,
Mangrove Capital,VC,"Canada,France,Israel,Luxembourg,USA",Luxembourg,💻 Software,N/A,"1. Idea or Patent,2. Prototype,3. Early Revenue",,N/A,http://www.mangrove.vc/,
Imprimatur Capital,VC,"USA,Israel,Canada,UK,Singapore",UK,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.imprimaturcapital.com/about/,
Impact Investment Fund,Other,Australia,Australia,N/A,N/A,N/A,,N/A,https://www.impactinvestmentfund.com.au/,
Acrew Capital,Other,USA,"3004 16th St, San Francisco, CA 94103, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/acrew-capital/,https://acrewcapital.com/,
The Hillman Company,Family office,USA,"Kelayres, Pennsylvania, United States",N/A,N/A,N/A,,N/A,http://hillmancompany.com,
Voima Ventures by VTT,Corporate VC,Finland,Finland,🔬 Deep Tech,N/A,"2. Prototype,3. Early Revenue,4. Scaling",,N/A,https://voimaventures.com/,
Eaton Square Ventures Fund,VC,Australia,Australia,N/A,N/A,N/A,,N/A,https://eatonsq.com/,
GrowthX,VC,USA,N/A,💻 Software,N/A,N/A,,N/A,https://growthx.com/,
PJC,VC,USA,USA,"🔬 Deep Tech,💻 Software",min. $500k,"2. Prototype,3. Early Revenue",,N/A,http://pjc.vc/,
Learn Capital,Other,USA,"San Mateo, California, United States",N/A,N/A,N/A,,N/A,http://www.learncapital.com/,
Sanofi Ventures,Corporate VC,"USA,France",France,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://sanofiventures.com/,
AceCap - Acequia Capital,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://acecap.com/,
Axel Johnson,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/axel-johnson-inc.,http://www.axeljohnson.com,
DFJ,Other,N/A,N/A,N/A,N/A,N/A,,N/A,http://www.dfj.com/,
Abbott Ventures,Corporate VC,USA,"Carthage, Illinois, United States",N/A,N/A,N/A,,N/A,http://www.abbottventures.com,
EQT Ventures,VC,"USA,Sweden,UK,Netherlands",Sweden,"🔬 Deep Tech,💻 Software",N/A,"2. Prototype,3. Early Revenue,4. Scaling",,N/A,https://www.eqtventures.com/,
Norwest Venture Partners,VC,"India,USA,Israel,Canada","Palo Alto, California, United States","🔬 Deep Tech,💻 Software",min. $1M,"3. Early Revenue,2. Prototype",,N/A,https://www.nvp.com/venture/,
Mobile Ventures,Corporate VC,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.mobile-ventures.com/en/,
VCCorp,Corporate VC,N/A,N/A,N/A,N/A,N/A,,N/A,https://vccorp.vn/,
Bialla Venture Partners,Corporate VC,USA,"Severna Park, Maryland, United States",N/A,N/A,N/A,,N/A,https://www.bialla.com/bialla-venture-partners,
North Base Media,Other,N/A,N/A,N/A,N/A,N/A,,N/A,http://www.northbasemedia.com/,
Cambridge Angels,Angel network,UK,UK,"🔬 Deep Tech,💻 Software",min. $50k,3. Early Revenue,,N/A,https://cambridgeangels.com/aboutus/,
Cherubic Ventures,VC,"China,USA",China,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://www.cherubic.com/,
Blazar Capital,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.blazarcapital.com/,
Oxx Ventures,VC,"Israel,UK",UK,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.oxx.vc/,
Noosphere Ventures,Corporate VC,USA,"Menlo Park, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/9469071/,http://noosphereventures.com,
Pfizer Venture Investments,Corporate VC,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://www.pfizer.com/partners/venture-investments,
Fireman Capital Partners,Family office,USA,"Boston, Massachusetts, United States",N/A,N/A,N/A,,N/A,http://www.firemancapital.com,
Gumi Cryptos Capital,Corporate VC,USA,USA,"🔬 Deep Tech,💻 Software",N/A,2. Prototype,,N/A,https://www.gumi-cryptos.com/,
SeedInvest,Other,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,https://www.seedinvest.com/,
Nordic Alpha Partners,VC,Denmark,Denmark,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://napartners.dk/,
UnityPoint Health Ventures,Corporate VC,USA,"West Des Moines, Iowa, United States",N/A,N/A,N/A,,N/A,https://unitypointhealthventures.org/,
Ada Ventures,VC,UK,UK,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,https://www.linkedin.com/company/ada-ventures/,https://www.adaventures.com/,
Waverly Capital,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.waverly-capital.com/,
Commercialization Reactor Fund,VC,Latvia,Latvia,🔬 Deep Tech,N/A,N/A,,N/A,https://www.commercializationreactor.com/,
Landscape Capital,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://www.landscapecapital.com/,
Ahren Innovation Capital,VC,"USA,UK",UK,🔬 Deep Tech,N/A,"2. Prototype,3. Early Revenue",,N/A,http://www.ahreninnovationcapital.com/,
BayBG,VC,Germany,Germany,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://www.baybg.de/ueber-uns/english.html,
Marsbio,VC,USA,USA,🔬 Deep Tech,N/A,2. Prototype,,N/A,https://www.marsbio.vc/,
Agilent Technologies,Corporate VC,USA,N/A,N/A,N/A,N/A,,N/A,https://www.agilent.com/,
Rock Health,VC,USA,USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,https://rockhealth.com/,
Reservoir Capital Group,Other,USA,N/A,N/A,N/A,N/A,,N/A,https://www.reservoircap.com/guest/index.html,
TA Ventures,VC,"USA,Israel,Canada,Ukraine",Ukraine,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://taventures.vc/,
Draper Associates,VC,"USA,Israel,Canada","San Mateo, California, United States","🔬 Deep Tech,💻 Software",N/A,N/A,,N/A,https://draper.vc/,
GMO Venture Partners,Corporate VC,USA,Japan,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://gmo-vp.com/en/,
Chevron Technology Ventures,Corporate VC,USA,"Houston, Texas, United States","🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,http://www.linkedin.com/company/chevron,https://www.chevron.com/technology/technology-ventures,
LSVP Lightspeed Venture Partners,VC,"USA,France,Israel,Canada","Menlo Park, California, United States","🔬 Deep Tech,💻 Software",N/A,"3. Early Revenue,4. Scaling",,N/A,https://lsvp.com/,
Black Jays Investments,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://www.blackjays.vc/,
Project 11 Ventures,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,http://www.project11.com/,
Clearwell Group,Family office,USA,"Tampa, Florida, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/clearwell-group,http://clearwellgroup.com,
Spring Mountain Capital,Other,USA,N/A,N/A,N/A,N/A,,N/A,https://springmountaincapital.com/,
Chetrit Ventures,Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/18451838/,http://www.chetritventures.com/,
Shrug Capital,Other,"USA,France,UK,Germany",N/A,N/A,N/A,N/A,,N/A,https://shrug.vc/,
ANZ Capital,Corporate VC,USA,"New York, USA",N/A,N/A,N/A,,https://www.linkedin.com/company/2437/,http://anz-capital.com/,
Launch Ventures,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.launch.vc/,
Marcy Ventures,Other,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.marcyvp.com/,
Hildred Capital Partners,Family office,USA,"New York, New York, United States",N/A,N/A,N/A,,N/A,http://hildredpartners.com/,
Breakthrough Energy Ventures,VC,"Israel,USA,Canada",USA,🔬 Deep Tech,N/A,"2. Prototype,3. Early Revenue",,N/A,http://www.b-t.energy/ventures/team/,
Westlake Village Biopartners,VC,USA,USA,🔬 Deep Tech,N/A,3. Early Revenue,,N/A,http://westlakebio.com/,
Fielmann Ventures,Corporate VC,Germany,"Hamburg, Hamburg, Germany",N/A,N/A,N/A,,https://www.linkedin.com/company/fielmann-ventures-gmbh,http://www.fielmann-ventures.com,
W23 by Woolworths,Corporate VC,Australia,Australia,N/A,min. $500k,N/A,,N/A,https://www.w23.vc/,
Lakeside Virtual Family Office,Family office,USA,"Toluca Lake, California, United States",N/A,N/A,N/A,,N/A,http://lakesidevfo.com/,
Force for Good Fund,Family office,USA,"San Francisco, California, United States",N/A,N/A,N/A,,N/A,http://www.lifteconomy.com/forceforgood/,
Humanity United,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,https://humanityunited.org/,
Skyview Ventures,VC,"USA,Canada","Nashville, TN 37212, US",💻 Software,N/A,3. Early Revenue,We invest in renewable energy and energy efficiency start-ups across North America. Our investments fall along four themes: environmental commodities; distributed generation; electric vehicle infrastructure; and early-stage startups.,https://www.linkedin.com/company/skyview-ventures/,https://skyviewventures.com/,
Hyde Park Angels,Other,USA,"Chicago, Illinois, United States",N/A,N/A,N/A,,N/A,https://hydeparkangels.com/,
Ignition Partners,Other,USA,"Los Altos, California, United States",N/A,N/A,N/A,,N/A,https://www.ignition.vc/,
Omnes Capital,VC,"Germany,Israel,France",France,"💻 Software,🔬 Deep Tech",min. $500k,"3. Early Revenue,4. Scaling",,N/A,https://www.omnescapital.com/en/,
Truesight,Other,N/A,N/A,N/A,N/A,N/A,,N/A,http://www.truesight.vc/,
Zhangjiang Torch Venture Capital Co,Corporate VC,China,"Shanghai, Shanghai, China",N/A,N/A,N/A,,N/A,http://www.zjhjf.com,
Noro-Moseley Partners,Other,USA,"Atlanta, Georgia, United States",N/A,N/A,N/A,,N/A,https://noromoseley.com/,
Openspace Ventures,VC,Singapore,Singapore,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,http://openspace.vc/,
Geolo Capital,Family office,USA,"San Francisco, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/geolo-capital/,http://www.geolo.com,
Great Oaks Venture Capital,Other,USA,N/A,💻 Software,N/A,N/A,,N/A,http://www.greatoaksvc.com/,
PowerHouse Ventures,VC,New Zealand,New Zealand,🔬 Deep Tech,N/A,"2. Prototype,3. Early Revenue",,N/A,https://www.powerhouse-ventures.co.nz/,
Far East Holding Group,Corporate VC,China,"Yixing, Jiangsu, China",N/A,N/A,N/A,,https://www.linkedin.com/company/%E8%BF%9C%E4%B8%9C%E6%8E%A7%E8%82%A1%E9%9B%86%E5%9B%A2%E6%9C%89%E9%99%90%E5%85%AC%E5%8F%B8/,http://www.fegroup.com.cn/,
The Whittemore Collection,Family office,USA,"Port Chester, New York, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/whittemore-collection-ltd/about/,http://www.whittemorecollection.com/,
Shibumi International by Gülermak Heavy Industries Construction and Contracting,Corporate VC,USA,UAE,"🔬 Deep Tech,💻 Software",N/A,"2. Prototype,3. Early Revenue",,N/A,http://www.shibumi-international.com/,
Reapra,VC,Singapore,Singapore,"🔬 Deep Tech,💻 Software",N/A,3. Early Revenue,,N/A,https://reapra.com/,
UpHonest Capital,Other,USA,"San Francisco, California, United States",💻 Software,N/A,N/A,,N/A,https://www.uphonestcapital.com/,
G+J Digital Ventures,Corporate VC,N/A,N/A,N/A,N/A,N/A,,N/A,https://www.gujdv.com/de/home/,
Wren Capital,VC,UK,UK,🔬 Deep Tech,min. $50k,3. Early Revenue,,N/A,https://www.wrencapital.co.uk/,
Dentsu Ventures,Corporate VC,Japan,"Tokyo, Tokyo, Japan",N/A,N/A,N/A,,N/A,http://dentsu-v.com/en/,
Generis Capital,VC,France,N/A,💻 Software,min. $1M,"3. Early Revenue,4. Scaling",,N/A,https://www.generiscapital.com/,
AVC Partners,Family office,USA,"West Valley City, Utah, United States",N/A,N/A,N/A,,N/A,http://avcpartners.com/,
Mehta Ventures,Family office,USA,"La Habra, California, United States",N/A,N/A,N/A,,N/A,https://mehtaventures.co/,
Volvo Cars Tech Fund,Corporate VC,USA,"Mountain View, California, United States",N/A,N/A,N/A,,https://www.linkedin.com/company/volvo-cars-tech-fund/,https://group.volvocars.com/company/innovation/volvo-cars-tech-fund,
